SG_PARTIDO;NM_PARTIDO
"PODE";"PODEMOS"
"AGIR";"AGIR"
"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA"
"PRD";"PARTIDO RENOVAÇÃO DEMOCRÁTICA"
"PSB";"PARTIDO SOCIALISTA BRASILEIRO"
"MOBILIZA";"MOBILIZAÇÃO NACIONAL"
"PT";"PARTIDO DOS TRABALHADORES"
"PP";"PROGRESSISTAS"
"PSOL";"PARTIDO SOCIALISMO E LIBERDADE"
"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO"
"REPUBLICANOS";"REPUBLICANOS"
"UNIÃO";"UNIÃO BRASIL"
"PC do B";"PARTIDO COMUNISTA DO BRASIL"
"AVANTE";"AVANTE"
"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"PL";"PARTIDO LIBERAL"
"PSD";"PARTIDO SOCIAL DEMOCRÁTICO"
"DC";"DEMOCRACIA CRISTÃ"
"SOLIDARIEDADE";"SOLIDARIEDADE"
"PV";"PARTIDO VERDE"
"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"NOVO";"PARTIDO NOVO"
"PMB";"PARTIDO DA MULHER BRASILEIRA"
"CIDADANIA";"CIDADANIA"
"REDE";"REDE SUSTENTABILIDADE"
"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO"
"UP";"UNIDADE POPULAR"
"PCO";"PARTIDO DA CAUSA OPERÁRIA"
"PCB";"PARTIDO COMUNISTA BRASILEIRO"
